user,cq_id,description,sparql,result_count,sample,verdict,notes
User 1,CQ1,What is the primary geographical and/or platform area of distribution for a given aesthetic?,"SELECT ?aestheticName ?locationLabel ?platformLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName .
  OPTIONAL {
    ?aesthetic ae-ont:hasLocationOfOrigin ?location .
    ?location rdfs:label ?locationLabel .
  }
  OPTIONAL {
    ?aesthetic ae-ont:hasPrimaryPlatform ?platform .
    ?platform rdfs:label ?platformLabel .
  }
  FILTER(str(?aestheticName) = ""Cottagecore"")
}",3,"Cottagecore, TikTok | Cottagecore, TikTok (revival) | Cottagecore, Tumblr",ANSWERABLE,
User 1,CQ2,During which time period did the digital turn in aesthetics creation occur? (aesthetics with origin period 2000+),"SELECT ?aestheticName ?periodLabel ?startYear
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasOriginPeriod ?period .
  ?period ae-ont:approximateLabel ?periodLabel ;
          ae-ont:startYear ?startYear .
  FILTER(str(?startYear) >= ""2000"")
}
ORDER BY ?startYear
LIMIT 30",30,"Sparkledog, 2000s, 2000 | Sparkledog, 2000s (Initial Popularity), 2000 | Sparkledog, 2000s (Third Wave/Mainstream Subculture), 2000",ANSWERABLE,
User 1,CQ3,Which aesthetics are associated with specific subcultures?,(no query),0,,NOT ANSWERABLE,NOT ANSWERABLE — no ae-ont:associatedSubculture property in graph. Closest proxy: ae-ont:hasIconicFigure links to known community figures.
User 2,CQ1,"Which artworks (films, music, literature) are associated with a given aesthetic?","SELECT ?workTitle ?workType
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasRelatedWork ?work .
  ?work a ?workType ;
        rdfs:label ?workTitle .
  FILTER(str(?aestheticName) = ""Dark Academia"")
  FILTER(?workType != owl:NamedIndividual)
}
ORDER BY ?workType ?workTitle",72,"5 Centimeters per Second, https://w3id.org/aesthetics-kg/ontology/Anime | 91 Days, https://w3id.org/aesthetics-kg/ontology/Anime | Baccano, https://w3id.org/aesthetics-kg/ontology/Anime",ANSWERABLE,
User 2,CQ2,Which aesthetics are associated with works of a specific medium (e.g. Film)?,"SELECT ?aestheticName (COUNT(?work) AS ?filmCount)
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasRelatedWork ?work .
  ?work a ae-ont:Film .
}
GROUP BY ?aestheticName
ORDER BY DESC(?filmCount)
LIMIT 20",20,"Catholic Horror, 21 | Corporate Grunge, 19 | Fantasy, 17",ANSWERABLE,
User 2,CQ3,Which aesthetics are linked to a specific geographic location of origin?,"SELECT ?aestheticName ?locationLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasLocationOfOrigin ?location .
  ?location rdfs:label ?locationLabel .
  FILTER(CONTAINS(LCASE(str(?locationLabel)), ""japan""))
}
ORDER BY ?aestheticName",59,"2010s Soft Kawaii, Japan and the West | Agejo, Japan | Agejo, Japan (modern-day Tokyo)",ANSWERABLE,
User 3,CQ1,Which age groups are most engaged with a given aesthetic movement?,(no query),0,,NOT ANSWERABLE,NOT ANSWERABLE — no demographic/age-group data in graph.
User 3,CQ2,Which iconic figures / communities are associated with a particular aesthetic?,"SELECT ?aestheticName ?figureName
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasIconicFigure ?figure .
  ?figure rdfs:label ?figureName .
  FILTER(str(?aestheticName) = ""Dark Cabaret"")
}
ORDER BY ?figureName",13,"Dark Cabaret, Amanda Palmer (The Dresden Dolls) | Dark Cabaret, Bertolt Brecht | Dark Cabaret, Brian Viglione (The Dresden Dolls)",ANSWERABLE,Proxy via ae-ont:hasIconicFigure (no explicit 'social group' class). Example: Dark Cabaret (13 figures).
User 3,CQ3,"Which brands are associated with a given aesthetic, and what values does it carry?","SELECT ?brandLabel ?valueLabel
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName .
  OPTIONAL {
    ?aesthetic ae-ont:hasRelatedBrand ?brand .
    ?brand rdfs:label ?brandLabel .
  }
  OPTIONAL {
    ?aesthetic ae-ont:hasMember ?value .
    ?value a ae-ont:Value ;
           rdfs:label ?valueLabel .
  }
  FILTER(str(?aestheticName) = ""Normcore"")
}",0,,NO RESULTS,
User 4,CQ1,Which aesthetics share a given color palette entry?,"SELECT ?aestheticName
WHERE {
  ?aesthetic a ae-ont:Aesthetic ;
             ae-ont:name ?aestheticName ;
             ae-ont:hasMember ?color .
  ?color a ae-ont:Color ;
         rdfs:label ""black""@en .
}
ORDER BY ?aestheticName
LIMIT 30",30,2000s Yoga Mom | 2020 Alt | Acid Design,ANSWERABLE,
